iter	Passed	Remaining
448	1107	1358
449	1108	1355
450	1110	1352
451	1112	1348
452	1114	1345
453	1116	1342
454	1118	1339
455	1120	1337
456	1122	1333
457	1124	1330
458	1126	1327
459	1128	1324
460	1130	1321
461	1132	1318
462	1134	1316
463	1136	1313
464	1138	1310
465	1140	1307
466	1142	1303
467	1144	1300
468	1146	1297
469	1148	1295
470	1150	1292
471	1152	1289
472	1154	1286
473	1156	1283
474	1158	1280
475	1160	1277
476	1162	1274
477	1164	1272
478	1167	1269
479	1169	1266
480	1170	1263
481	1173	1260
482	1175	1257
483	1177	1255
484	1180	1253
485	1185	1253
486	1188	1252
487	1191	1250
488	1195	1249
489	1199	1248
490	1202	1247
491	1204	1244
492	1207	1241
493	1210	1239
494	1212	1237
495	1214	1234
496	1217	1231
497	1218	1228
498	1220	1225
499	1222	1222
500	1225	1220
501	1227	1217
502	1229	1214
503	1230	1211
504	1232	1208
505	1234	1205
506	1236	1202
507	1238	1199
508	1241	1197
509	1243	1194
510	1245	1191
511	1246	1188
512	1248	1185
513	1250	1182
514	1252	1179
515	1254	1177
516	1257	1174
517	1259	1171
518	1260	1168
519	1262	1165
520	1264	1162
521	1266	1159
522	1268	1157
523	1270	1154
524	1273	1151
525	1275	1149
526	1276	1146
527	1278	1143
528	1280	1140
529	1282	1137
530	1284	1134
531	1287	1132
532	1289	1129
533	1291	1126
534	1293	1123
535	1295	1121
536	1296	1118
537	1299	1115
538	1301	1113
539	1303	1110
540	1305	1107
541	1307	1104
542	1309	1101
543	1311	1099
544	1313	1096
545	1315	1093
546	1318	1091
547	1320	1088
548	1321	1085
549	1323	1082
550	1325	1080
551	1327	1077
552	1329	1074
553	1331	1072
554	1334	1069
555	1336	1066
556	1337	1064
557	1339	1061
558	1341	1058
559	1343	1055
560	1345	1053
561	1348	1051
562	1350	1048
563	1352	1045
564	1354	1042
565	1356	1040
566	1358	1037
567	1360	1034
568	1362	1031
569	1365	1029
570	1367	1027
571	1369	1024
572	1371	1021
573	1373	1019
574	1375	1016
575	1378	1014
576	1380	1011
577	1382	1009
578	1384	1006
579	1386	1004
580	1388	1001
581	1390	998
582	1392	996
583	1394	993
584	1396	990
585	1398	988
586	1400	985
587	1402	982
588	1404	980
589	1407	977
590	1409	975
591	1411	972
592	1414	970
593	1416	968
594	1418	965
595	1421	963
596	1424	961
597	1426	958
598	1428	956
599	1431	954
600	1433	951
601	1435	949
602	1437	946
603	1439	944
604	1441	941
605	1443	938
606	1445	936
607	1447	933
608	1449	930
609	1452	928
610	1454	926
611	1456	923
612	1458	920
613	1460	918
614	1462	915
615	1464	912
616	1466	910
617	1468	907
618	1470	905
619	1472	902
620	1474	900
621	1476	897
622	1478	894
623	1481	892
624	1483	890
625	1485	887
626	1487	884
627	1489	882
628	1491	879
629	1493	876
630	1495	874
631	1497	871
632	1500	869
633	1502	867
634	1504	864
635	1506	861
636	1507	859
637	1509	856
638	1511	854
639	1513	851
640	1515	848
641	1517	846
642	1519	843
643	1521	840
644	1523	838
645	1525	835
646	1527	833
647	1529	830
648	1531	828
649	1532	825
650	1534	822
651	1536	820
652	1538	817
653	1540	815
654	1542	812
655	1544	810
656	1546	807
657	1548	804
658	1550	802
659	1552	799
660	1554	797
661	1556	794
662	1558	792
663	1561	790
664	1563	787
665	1565	785
666	1567	782
667	1568	779
668	1570	777
669	1572	774
670	1575	772
671	1577	769
672	1578	767
673	1581	764
674	1582	762
675	1584	759
676	1586	757
677	1588	754
678	1591	752
679	1593	749
680	1595	747
681	1597	744
682	1599	742
683	1600	739
684	1602	737
685	1605	734
686	1607	732
687	1609	729
688	1610	727
689	1612	724
690	1614	722
691	1616	719
692	1618	717
693	1620	714
694	1622	712
695	1624	709
696	1626	707
697	1628	704
698	1629	701
699	1631	699
700	1633	696
701	1636	694
702	1638	692
703	1639	689
704	1641	687
705	1643	684
706	1645	681
707	1647	679
708	1649	676
709	1651	674
710	1653	672
711	1655	669
712	1657	667
713	1659	664
714	1661	662
715	1663	659
716	1665	657
717	1667	654
718	1669	652
719	1671	650
720	1673	647
721	1675	644
722	1676	642
723	1678	639
724	1680	637
725	1683	635
726	1685	632
727	1687	630
728	1689	627
729	1691	625
730	1692	622
731	1695	620
732	1697	618
733	1699	615
734	1701	613
735	1703	610
736	1704	608
737	1706	605
738	1708	603
739	1710	600
740	1712	598
741	1714	596
742	1716	593
743	1718	591
744	1720	588
745	1722	586
746	1724	584
747	1726	581
748	1728	579
749	1730	576
750	1732	574
751	1734	571
752	1735	569
753	1737	566
754	1739	564
755	1742	562
756	1744	559
757	1745	557
758	1747	554
759	1749	552
760	1751	550
761	1753	547
762	1755	545
763	1757	542
764	1759	540
765	1761	538
766	1762	535
767	1764	533
768	1766	530
769	1768	528
770	1770	525
771	1772	523
772	1774	521
773	1776	518
774	1778	516
775	1780	513
776	1782	511
777	1784	509
778	1786	506
779	1788	504
780	1791	502
781	1793	499
782	1795	497
783	1796	495
784	1798	492
785	1800	490
786	1803	488
787	1805	485
788	1807	483
789	1809	480
790	1810	478
791	1812	476
792	1814	473
793	1816	471
794	1819	469
795	1820	466
796	1822	464
797	1824	461
798	1826	459
799	1828	457
800	1830	454
801	1832	452
802	1834	450
803	1836	447
804	1838	445
805	1840	442
806	1842	440
807	1844	438
808	1846	435
809	1848	433
810	1850	431
811	1852	428
812	1854	426
813	1855	424
814	1857	421
815	1859	419
816	1861	417
817	1863	414
818	1865	412
819	1867	409
820	1869	407
821	1871	405
822	1872	402
823	1874	400
824	1878	398
825	1882	396
826	1885	394
827	1889	392
828	1892	390
829	1895	388
830	1897	385
831	1900	383
832	1902	381
833	1906	379
834	1908	377
835	1910	374
836	1912	372
837	1913	369
838	1915	367
839	1917	365
840	1919	362
841	1921	360
842	1923	358
843	1925	355
844	1927	353
845	1928	351
846	1930	348
847	1932	346
848	1934	344
849	1936	341
850	1938	339
851	1940	337
852	1941	334
853	1943	332
854	1945	329
855	1947	327
856	1948	325
857	1950	322
858	1953	320
859	1955	318
860	1956	315
861	1958	313
862	1960	311
863	1962	308
864	1964	306
865	1966	304
866	1969	302
867	1971	299
868	1973	297
869	1975	295
870	1977	292
871	1979	290
872	1981	288
873	1983	286
874	1985	283
875	1987	281
876	1989	279
877	1991	276
878	1993	274
879	1994	272
880	1997	269
881	1999	267
882	2001	265
883	2002	262
884	2004	260
885	2006	258
886	2008	255
887	2010	253
888	2012	251
889	2014	248
890	2016	246
891	2017	244
892	2019	241
893	2021	239
894	2023	237
895	2025	235
896	2027	232
897	2029	230
898	2031	228
899	2033	225
900	2035	223
901	2037	221
902	2039	219
903	2040	216
904	2043	214
905	2045	212
906	2047	209
907	2048	207
908	2050	205
909	2052	202
910	2054	200
911	2055	198
912	2057	196
913	2060	193
914	2062	191
915	2064	189
916	2065	186
917	2067	184
918	2069	182
919	2071	180
920	2073	177
921	2075	175
922	2077	173
923	2079	171
924	2080	168
925	2082	166
926	2084	164
927	2086	161
928	2088	159
929	2092	157
930	2095	155
931	2098	153
932	2101	150
933	2105	148
934	2108	146
935	2110	144
936	2112	142
937	2115	139
938	2117	137
939	2119	135
940	2122	133
941	2123	130
942	2125	128
943	2127	126
944	2129	123
945	2130	121
946	2132	119
947	2135	117
948	2137	114
949	2138	112
950	2140	110
951	2142	108
952	2144	105
953	2146	103
954	2148	101
955	2150	98
956	2152	96
957	2154	94
958	2155	92
959	2157	89
960	2159	87
961	2161	85
962	2163	83
963	2166	80
964	2167	78
965	2169	76
966	2171	74
967	2173	71
968	2175	69
969	2176	67
970	2178	65
971	2181	62
972	2183	60
973	2184	58
974	2186	56
975	2188	53
976	2190	51
977	2192	49
978	2194	47
979	2196	44
980	2198	42
981	2200	40
982	2202	38
983	2203	35
984	2205	33
985	2207	31
986	2209	29
987	2211	26
988	2213	24
989	2215	22
990	2217	20
991	2218	17
992	2220	15
993	2222	13
994	2224	11
995	2226	8
996	2228	6
997	2230	4
998	2231	2
999	2233	0
