iter	Logloss
361	0.5143092032
362	0.5141400752
363	0.5138401177
364	0.5134396153
365	0.5131282428
366	0.513013534
367	0.5126820339
368	0.5122358715
369	0.5120146074
370	0.511609539
371	0.5113734587
372	0.5111150145
373	0.5108380733
374	0.5105577775
375	0.5103085117
376	0.5100161953
377	0.5098694314
378	0.5095285663
379	0.5092366692
380	0.5089718884
381	0.5086688559
382	0.5084529032
383	0.508272733
384	0.5079344305
385	0.5077029163
386	0.5075203699
387	0.5071986541
388	0.5070991807
389	0.5069213867
390	0.5067338084
391	0.5064889224
392	0.506310709
393	0.5061434913
394	0.5059751088
395	0.5058018342
396	0.5054548657
397	0.5052492098
398	0.5050324185
399	0.5047829198
400	0.5044544482
401	0.5040050245
402	0.5037047874
403	0.5035060271
404	0.5032566682
405	0.5030268778
406	0.5028074774
407	0.5025445137
408	0.5023955134
409	0.5021582218
410	0.5018895739
411	0.5017192811
412	0.5015562101
413	0.501346361
414	0.5009162728
415	0.500720308
416	0.5004462555
417	0.5002965097
418	0.5001598562
419	0.5000002796
420	0.4997143462
421	0.4994533393
422	0.4992411606
423	0.4990566108
424	0.4987109002
425	0.4984908941
426	0.4983421733
427	0.4982288623
428	0.4980522796
429	0.4978055765
430	0.4975523505
431	0.4972879424
432	0.4970171979
433	0.4966653372
434	0.4965008685
435	0.4963407793
436	0.4960747406
437	0.495777532
438	0.4955785387
439	0.4952643242
440	0.4950585285
441	0.4947557289
442	0.4945090723
443	0.4943156701
444	0.4940870445
445	0.4937951008
446	0.4935346531
447	0.4931735672
448	0.4929729898
449	0.4926885474
450	0.4925019009
451	0.4923183761
452	0.4920562045
453	0.4918980256
454	0.4917515878
455	0.4916238799
456	0.4914285208
457	0.4911396988
458	0.4909121914
459	0.4907618865
460	0.4906133521
461	0.4904390058
462	0.4902330704
463	0.4900919441
464	0.4898613617
465	0.4897193501
466	0.4894885347
467	0.4891755315
468	0.4890277892
469	0.4888027046
470	0.4884296912
471	0.4882843251
472	0.4879767731
473	0.4877353348
474	0.4874824815
475	0.4872366636
476	0.4870092028
477	0.4868842438
478	0.4866909813
479	0.4865590336
480	0.4863960557
481	0.4861537788
482	0.4859584197
483	0.4858316436
484	0.4856710885
485	0.4855380692
486	0.4853634434
487	0.4852218977
488	0.4849124355
489	0.4846384296
490	0.4843974106
491	0.4842861962
492	0.484132723
493	0.4839403924
494	0.4837371593
495	0.4833319045
496	0.4831021141
497	0.482770614
498	0.4825308064
499	0.4823513817
500	0.4821569545
501	0.4819331278
502	0.4817072978
503	0.4815227014
504	0.4813791523
505	0.4812063901
506	0.4809355991
507	0.4807377706
508	0.4804671193
509	0.4803147644
510	0.4799950986
511	0.4798399481
512	0.479671752
513	0.4794236977
514	0.4790787326
515	0.4788517843
516	0.4787584611
517	0.4784771402
518	0.4783137897
519	0.4781339922
520	0.4779516788
521	0.4776799559
522	0.4774576668
523	0.4772794534
524	0.4770675077
525	0.4768897603
526	0.4766755315
527	0.4763355051
528	0.4760826053
529	0.4758814688
530	0.475650933
531	0.4753644405
532	0.4752532726
533	0.4750867538
534	0.474862601
535	0.4746615577
536	0.4744504972
537	0.4741969451
538	0.4738984785
539	0.4737559078
540	0.4735644159
541	0.4731828296
542	0.4730169631
543	0.472810422
544	0.4726426918
545	0.4724969995
546	0.4721303692
547	0.4718721113
548	0.4716104988
549	0.4714512017
550	0.4712109282
551	0.4709533225
552	0.4706630561
553	0.4704858212
554	0.4701376413
555	0.4698871176
556	0.469727075
557	0.4695374933
558	0.4693583481
559	0.468908505
560	0.4686990752
561	0.4685433191
562	0.4683547158
563	0.4681456122
564	0.4679378597
565	0.4677654237
566	0.4675425289
567	0.4672940087
568	0.4670637524
569	0.4668495702
570	0.466523568
571	0.4663269509
572	0.4660531779
573	0.4657944541
574	0.4655073559
575	0.4653213617
576	0.4650694869
577	0.4649092114
578	0.4646818904
579	0.4645673213
580	0.4644065333
581	0.4642302768
582	0.4640931574
583	0.4639175997
584	0.463562664
585	0.4633886439
586	0.4631923996
587	0.4629101003
588	0.4626746258
589	0.4625319619
590	0.4623313846
591	0.4620393476
592	0.461721266
593	0.4614222403
594	0.461298679
595	0.4610647886
596	0.460714745
597	0.4605576843
598	0.460367823
599	0.4601269904
600	0.4598876953
601	0.4597168901
602	0.4594739608
603	0.459145163
604	0.4590217416
605	0.458797449
606	0.4586193289
607	0.4584320301
608	0.4582149593
609	0.4580506769
610	0.4578127796
611	0.4576577223
612	0.4574210829
613	0.4571661796
614	0.4569130934
615	0.4566238054
616	0.4563258513
617	0.4560794277
618	0.4558543897
619	0.4557720621
620	0.4553954146
621	0.455320402
622	0.4550765409
623	0.4548898944
624	0.4547188562
625	0.4545282029
626	0.4543062865
627	0.4541032398
628	0.4538670664
629	0.453734047
630	0.4535862581
631	0.4533981673
632	0.4531284944
633	0.4528265334
634	0.4526644874
635	0.4524577134
636	0.4521530501
637	0.4519683139
638	0.4517789651
639	0.4515165606
640	0.4512937589
641	0.4510541843
642	0.4508354362
643	0.4506821028
644	0.4504974132
645	0.4502868186
646	0.4501391229
647	0.4500247868
648	0.4498190378
649	0.4495968884
650	0.4494210979
651	0.4491164346
652	0.4489666422
653	0.4487563737
654	0.4484304646
655	0.4481916821
656	0.447982625
657	0.4478560353
658	0.4475572426
659	0.447307278
660	0.4470817741
661	0.4470152411
662	0.4467367624
663	0.4465031981
664	0.4462692144
665	0.4460961728
666	0.4458705757
667	0.4457424484
668	0.4455684749
669	0.4453254059
670	0.4451455619
671	0.4448490987
672	0.4446272755
673	0.4444090865
674	0.4440268946
675	0.4437445022
676	0.4435604649
677	0.4432997376
678	0.4430145963
679	0.4427330425
680	0.4424619718
681	0.442312459
682	0.4421278626
683	0.4418808333
684	0.4417185077
685	0.4415214713
686	0.4413286748
687	0.4410350072
688	0.4408103885
689	0.4405328416
690	0.440273745
691	0.4400792246
692	0.4398916929
693	0.4396581286
694	0.4393796033
695	0.4391469708
696	0.4389771906
697	0.4387313726
698	0.4385532991
699	0.4383346441
700	0.4382324219
701	0.4380891989
702	0.4379090753
703	0.437621418
704	0.4374576481
705	0.4372954623
706	0.4370789506
707	0.4368629514
708	0.4367230364
709	0.4364341678
710	0.4360712182
711	0.4359323283
712	0.435723644
713	0.4355187336
714	0.4352355491
715	0.4349696036
716	0.4348175282
717	0.4346712302
718	0.4344328203
719	0.434152012
720	0.4340345077
721	0.4338706912
722	0.4337063156
723	0.4335165009
724	0.4333654972
725	0.4330980141
726	0.4329018163
727	0.4326452357
728	0.4323296234
729	0.432212585
730	0.4320582732
731	0.4318753541
732	0.4315073727
733	0.431318583
734	0.4310618626
735	0.4307728542
736	0.4305641698
737	0.4303911282
738	0.4302068113
739	0.4299670037
740	0.4296861954
741	0.4294628347
742	0.4293312597
743	0.4291194071
744	0.4288147439
745	0.428584208
746	0.4283013031
747	0.4280941097
748	0.4279523311
749	0.4277522662
750	0.4276356005
751	0.4273984487
752	0.4271853381
753	0.4270550211
754	0.426819034
755	0.4265864947
756	0.4263171946
757	0.426146203
758	0.4258695879
759	0.4257447221
760	0.4255071975
761	0.4253193397
762	0.4250938823
763	0.424874016
764	0.4246672419
765	0.4245052891
766	0.4242388776
767	0.4240601052
768	0.4238772327
769	0.4237416508
770	0.4235154014
771	0.4233209275
772	0.423078604
773	0.4228200665
774	0.4225967058
775	0.4224265528
776	0.4222044967
777	0.421908546
778	0.4216070976
779	0.4213789379
780	0.4211543192
781	0.4208365637
782	0.4205570134
783	0.4202817961
784	0.4200386804
785	0.4199061736
786	0.4196741934
787	0.4195005461
788	0.4193228918
789	0.4190990652
790	0.4189278872
791	0.4187681708
792	0.4185217472
793	0.4182849214
794	0.4180541992
795	0.4179637647
796	0.4177596929
797	0.4176433068
798	0.4174607139
799	0.4172080469
800	0.4170233108
801	0.4168643398
802	0.4166107411
803	0.4164838252
804	0.4162924264
805	0.4160702771
806	0.4157871392
807	0.4155751469
808	0.4153495497
809	0.4151468757
810	0.4150102222
811	0.4146801199
812	0.414592574
813	0.4143771805
814	0.4141278216
815	0.4140018842
816	0.4137490309
817	0.4135830712
818	0.4133652083
819	0.413168498
820	0.4129770061
821	0.4127638955
822	0.4124998136
823	0.4123550997
824	0.4121057408
825	0.4118544717
826	0.4116062776
827	0.4114558795
828	0.4112536714
829	0.4110368336
830	0.4108810774
831	0.4106889798
832	0.4103834312
833	0.4101881187
834	0.4100451753
835	0.4099067513
836	0.409668621
837	0.4095195741
838	0.409320115
839	0.4091064919
840	0.4088534057
841	0.4086523624
842	0.408473357
843	0.4083030177
844	0.4081328647
845	0.4079365272
846	0.4078408278
847	0.4076509665
848	0.4074083168
849	0.407186447
850	0.4069857299
851	0.4068044415
852	0.4066769665
853	0.4065697124
854	0.4064420045
855	0.4063131784
856	0.4061723316
857	0.406039685
858	0.4058631023
859	0.405673474
860	0.4054948414
861	0.4052910492
862	0.4051539297
863	0.4050173694
864	0.4048794579
865	0.4046667201
866	0.4043655512
867	0.404142703
868	0.4038683243
869	0.4036518126
870	0.4033731475
871	0.4031980092
872	0.4030245482
873	0.4029023848
874	0.4027030654
875	0.4025090574
876	0.4021385135
877	0.4019760947
878	0.4018247182
879	0.4016093713
880	0.4012708824
881	0.4011080443
882	0.4010023743
883	0.4008728493
884	0.4007631724
885	0.4006354179
886	0.4004058139
887	0.4000929971
888	0.3998561714
889	0.3996158047
890	0.3993390498
891	0.3990448697
892	0.3988209499
893	0.3986105417
894	0.3984132723
895	0.3982892451
896	0.3980165438
897	0.3979271343
898	0.3976644501
899	0.3974230118
900	0.3972911573
901	0.3971767746
902	0.396875
903	0.3966398982
904	0.396489966
905	0.3963187414
906	0.3960349047
907	0.395895875
908	0.3957000499
909	0.3955627441
910	0.3954149086
911	0.3952602707
912	0.3950090481
913	0.3947849885
914	0.3945101439
915	0.3943654767
916	0.3940917969
917	0.3938886104
918	0.3936924592
919	0.3935314848
920	0.3932351149
921	0.3930199543
922	0.3928926191
923	0.392635526
924	0.3923664122
925	0.3922229097
926	0.3920726048
927	0.3919043621
928	0.3916678159
929	0.3914449211
930	0.3913056119
931	0.3910918025
932	0.3909141482
933	0.3907991599
934	0.3905517345
935	0.3903325205
936	0.39016493
937	0.3900218935
938	0.3899100733
939	0.3897334441
940	0.3895701634
941	0.3894805209
942	0.3893405128
943	0.3891641631
944	0.3889962233
945	0.3887538531
946	0.3885670669
947	0.3884031106
948	0.3882442795
949	0.3881501176
950	0.3879121504
951	0.3877632665
952	0.3875693751
953	0.3873850815
954	0.3871820115
955	0.3870851007
956	0.386901506
957	0.3866534517
958	0.3864885636
959	0.3863451543
960	0.3862372711
961	0.3860384643
962	0.3858196928
963	0.3856489575
964	0.3855192461
965	0.3853459249
966	0.3851313933
967	0.3850489959
968	0.3848504685
969	0.3846433916
970	0.3845269822
971	0.3844213588
972	0.3842786017
973	0.3840932599
974	0.3839084305
975	0.3837232983
976	0.3835461566
977	0.3832813991
978	0.3831738188
979	0.3830678226
980	0.3828900053
981	0.3827103244
982	0.3825162465
983	0.3823616319
984	0.3821972563
985	0.3819664409
986	0.3816713056
987	0.3815351413
988	0.3814005379
989	0.3811232472
990	0.3809975195
991	0.3808818788
992	0.3807083246
993	0.3805071416
994	0.3803693233
995	0.3801143967
996	0.3798916649
997	0.3796316365
998	0.3794685189
999	0.3792575516
